building_type,building_id,baseline_return
RestaurantFastFood,RestaurantFastFood-3997,-25117.215555224746
RetailStandalone,RetailStandalone-2997,-135374.74847279978
OfficeSmall,OfficeSmall-5996,-83714.13073162164
RestaurantFastFood,RestaurantFastFood-3998,-26000.048024205324
OfficeMedium,OfficeMedium-4997,-51361.642902549334
RetailStandalone,RetailStandalone-2998,-110608.20080730559
OfficeSmall,OfficeSmall-5997,-133343.3051712041
RetailStandalone,RetailStandalone-2999,-74268.63955643802
RestaurantFastFood,RestaurantFastFood-3999,-31294.043558366553
OfficeMedium,OfficeMedium-4998,-52560.26338042002
OfficeSmall,OfficeSmall-5999,-124294.07956844306
RetailStandalone,RetailStandalone-3000,-111122.99586419012
RestaurantFastFood,RestaurantFastFood-4000,-35983.06919519876
OfficeMedium,OfficeMedium-4999,-46223.459793975955
OfficeSmall,OfficeSmall-6000,-92353.28069064493
RestaurantFastFood,RestaurantFastFood-3003,-34190.11746135688
RetailStandalone,RetailStandalone-2035,-175630.08110507406
OfficeMedium,OfficeMedium-5000,-59507.6744779229
OfficeSmall,OfficeSmall-5014,-87158.05015216935
OfficeMedium,OfficeMedium-4037,-65144.41316387112
