building_type,building_id,baseline_return
OfficeMedium,OfficeMedium-4001,-3762.6426584590145
OfficeMedium,OfficeMedium-4002,-5396.596708648663
OfficeMedium,OfficeMedium-4003,-2558.099499904423
OfficeMedium,OfficeMedium-4004,-4271.070724783937
OfficeMedium,OfficeMedium-4005,-2491.7403684320134
OfficeSmall,OfficeSmall-5001,-966.9413654259171
OfficeSmall,OfficeSmall-5002,-598.240874734335
OfficeSmall,OfficeSmall-5003,-1027.2784900440708
OfficeSmall,OfficeSmall-5004,-746.227040173287
OfficeSmall,OfficeSmall-5005,-1934.2285755606858
RestaurantFastFood,RestaurantFastFood-3001,-12438.746972998679
RestaurantFastFood,RestaurantFastFood-3002,-931.9417030877469
RestaurantFastFood,RestaurantFastFood-3004,-714.126525977311
RestaurantFastFood,RestaurantFastFood-3005,-932.8827181683992
RestaurantFastFood,RestaurantFastFood-3006,-802.2383510177336
RetailStandalone,RetailStandalone-2001,-4608.670210508443
RetailStandalone,RetailStandalone-2002,-2055.108749510943
RetailStandalone,RetailStandalone-2003,-2954.2288968207986
RetailStandalone,RetailStandalone-2004,-5658.915086755163
RetailStandalone,RetailStandalone-2005,-2472.7862912917553
