building_type,building_id,baseline_return
RetailStandalone,RetailStandalone-3000,-20.441136187849853
RetailStandalone,RetailStandalone-2999,-55.57738970331752
RetailStandalone,RetailStandalone-2998,-59.46920873655312
RetailStandalone,RetailStandalone-2997,-74.22625220593497
RestaurantFastFood,RestaurantFastFood-3997,-14.532109896958621
RestaurantFastFood,RestaurantFastFood-3998,-14.577730699249491
RestaurantFastFood,RestaurantFastFood-3999,-8.690751194016203
RestaurantFastFood,RestaurantFastFood-4000,-13.26145600859873
RestaurantFastFood,RestaurantFastFood-3003,-8.480987779747855
RetailStandalone,RetailStandalone-2035,-186.92078777945008
OfficeMedium,OfficeMedium-4997,-41.84327603331822
OfficeMedium,OfficeMedium-4999,-60.74700900666793
OfficeMedium,OfficeMedium-5000,-44.600770353344615
OfficeMedium,OfficeMedium-4998,-54.91490916105923
OfficeSmall,OfficeSmall-5996,-9.397962782918583
OfficeSmall,OfficeSmall-5997,-7.12331763627892
OfficeSmall,OfficeSmall-5999,-9.016981240511399
OfficeMedium,OfficeMedium-4037,-77.06041316014168
OfficeSmall,OfficeSmall-6000,-10.70997553789147
OfficeSmall,OfficeSmall-5014,-44.31650173043163
