building_type,building_id,baseline_return
RestaurantFastFood,RestaurantFastFood-3997,-7701.41334384742
RetailStandalone,RetailStandalone-2997,-9217.334494428103
OfficeMedium,OfficeMedium-4997,-8921.499509772366
OfficeSmall,OfficeSmall-5996,-2183.739215921764
RetailStandalone,RetailStandalone-2998,-5796.754908491294
RestaurantFastFood,RestaurantFastFood-3998,-7664.231101349299
OfficeSmall,OfficeSmall-5997,-1408.2686732402112
RetailStandalone,RetailStandalone-2999,-6984.484854396813
OfficeMedium,OfficeMedium-4998,-11105.558959250666
RestaurantFastFood,RestaurantFastFood-3999,-2672.1580193693476
OfficeSmall,OfficeSmall-5999,-1767.5391100898985
OfficeMedium,OfficeMedium-4999,-11939.028828214316
RetailStandalone,RetailStandalone-3000,-7098.150378144727
RestaurantFastFood,RestaurantFastFood-4000,-7866.719440177028
OfficeMedium,OfficeMedium-5000,-7315.600703971726
OfficeSmall,OfficeSmall-6000,-2245.3799930225764
RetailStandalone,RetailStandalone-2035,-6423.442075810418
RestaurantFastFood,RestaurantFastFood-3003,-3773.4059224743146
OfficeSmall,OfficeSmall-5014,-1650.297639961303
OfficeMedium,OfficeMedium-4037,-14378.142228650471
