building_type,building_id,baseline_return
RestaurantFastFood,RestaurantFastFood-3997,-7701.41334384742
RetailStandalone,RetailStandalone-2997,-9217.334494428103
OfficeMedium,OfficeMedium-4997,-6902.872050785453
OfficeSmall,OfficeSmall-5996,-2183.739215921764
RetailStandalone,RetailStandalone-2998,-5796.754908491294
RestaurantFastFood,RestaurantFastFood-3998,-7664.231101349299
OfficeSmall,OfficeSmall-5997,-1408.2686732402112
OfficeMedium,OfficeMedium-4998,-8267.764737040905
RetailStandalone,RetailStandalone-2999,-6984.484854396813
RestaurantFastFood,RestaurantFastFood-3999,-2672.1580193693476
OfficeSmall,OfficeSmall-5999,-1767.5391100898985
